,year,month,day,price,built_yr,dong_name,apt_name,size,gu_code,size_pyung,price_pyung
55,2021,6,19,57500,2002,양재동,대흥,56.65,11650,17.01201201201201,3379.964695498676
56,2021,6,5,135000,1995,우면동,동고,77.14,11650,23.165165165165163,5827.715841327457
57,2021,6,8,135000,2011,우면동,서초네이처힐7단지,59.99,11650,18.015015015015017,7493.748958159693
58,2021,6,12,119000,1994,우면동,한라,59.98,11650,18.01201201201201,6606.702234078026
59,2021,6,12,172000,2013,우면동,서초네이처힐3단지,84.77,11650,25.456456456456454,6756.635602217766
60,2021,6,18,177000,2013,우면동,서초네이처힐3단지,84.77,11650,25.456456456456454,6953.0494278636315
61,2021,6,18,181000,2013,우면동,서초네이처힐6단지,114.98,11650,34.528528528528525,5242.042094277266
62,2021,6,23,71000,2013,우면동,엘에이치서초4단지,59.93,11650,17.996996996996998,3945.10261972301
63,2021,6,25,37000,2014,우면동,계룡리슈빌S,30.015,11650,9.013513513513514,4104.9475262368815
64,2021,6,26,155000,2012,우면동,서초힐스,74.96,11650,22.510510510510507,6885.67235859125
65,2021,6,27,139500,2011,우면동,서초네이처힐7단지,59.99,11650,18.015015015015017,7743.540590098349
66,2021,6,1,197941,2000,잠원동,노블레스,152.01,11650,45.648648648648646,4336.185316755477
67,2021,6,1,215000,2000,잠원동,노블레스,152.01,11650,45.648648648648646,4709.887507400829
68,2021,6,1,163000,1985,잠원동,신반포27,53.46,11650,16.054054054054053,10153.198653198655
69,2021,6,2,249000,1981,잠원동,신반포10,76.32,11650,22.918918918918916,10864.386792452831
70,2021,6,2,249000,1981,잠원동,신반포10,76.32,11650,22.918918918918916,10864.386792452831
71,2021,6,2,165000,1983,잠원동,신반포16,52.26,11650,15.693693693693692,10513.777267508613
72,2021,6,3,230000,1996,잠원동,한신타워,84.93,11650,25.504504504504506,9018.014835747084
73,2021,6,3,178500,1996,잠원동,한신타워,59.81,11650,17.96096096096096,9938.221033272028
74,2021,6,5,189000,1981,잠원동,신반포8,52.74,11650,15.837837837837839,11933.447098976108
75,2021,6,5,305000,1981,잠원동,신반포11,110.42,11650,33.15915915915916,9198.061945299765
76,2021,6,7,340000,2018,잠원동,아크로리버뷰신반포,78.5,11650,23.573573573573572,14422.929936305733
77,2021,6,9,360000,1983,잠원동,신반포17,143.77,11650,43.174174174174176,8338.31814704041
78,2021,6,9,306000,1978,잠원동,신반포2,92.2,11650,27.68768768768769,11051.843817787418
79,2021,6,9,188500,1997,잠원동,신화,84.33,11650,25.324324324324323,7443.436499466383
80,2021,6,9,105000,2001,잠원동,대우아이빌,49.06,11650,14.732732732732734,7126.987362413371
81,2021,6,11,272000,1979,잠원동,신반포4,96.48,11650,28.972972972972972,9388.059701492537
82,2021,6,11,200000,1981,잠원동,신반포10,53.88,11650,16.18018018018018,12360.801781737195
83,2021,6,13,267500,1979,잠원동,신반포4,96.48,11650,28.972972972972972,9232.742537313434
84,2021,6,13,284500,2016,잠원동,래미안신반포팰리스,84.46,11650,25.363363363363362,11216.966611413687
85,2021,6,14,230000,1978,잠원동,신반포2,68.91,11650,20.693693693693692,11114.49717022203
86,2021,6,14,170000,2008,잠원동,데뜨아르,84.94,11650,25.507507507507505,6664.704497292207
87,2021,6,14,205000,1993,잠원동,한신그린,84.89,11650,25.49249249249249,8041.583225350454
88,2021,6,15,210000,2003,잠원동,브라운스톤잠원,84.94,11650,25.507507507507505,8232.870261360962
89,2021,6,15,191500,2002,잠원동,동아,59.92,11650,17.993993993993993,10642.439919893191
90,2021,6,16,199000,1993,잠원동,현대,84.87,11650,25.486486486486488,7808.0593849416755
