,monoth,deposit,m_rent,built_yr,dong_name,apt_name,size,gu_code,deposit1,deposit_new,size_p,deposit_p
45,202502,17500,0,2019,용두동,청계한양아이클래스,14.22,11230,0.0,17500.0,4.3090909090909095,4061.1814345991556
46,202502,20000,0,1984,장안동,장안현대,95.45,11230,0.0,20000.0,28.924242424242426,691.4614981665793
47,202502,10000,200,2024,신설동,신설동역자이르네,45.943,11230,48979.59183673469,58979.59183673469,13.922121212121212,4236.394076599797
48,202502,45000,0,2002,답십리동,답십리대우,84.99,11230,0.0,45000.0,25.754545454545454,1747.2643840451817
49,202502,49500,0,2011,장안동,장안위더스빌,84.85,11230,0.0,49500.0,25.71212121212121,1925.1620506776665
50,202502,52000,0,2021,휘경동,휘경해모로프레스티지,59.77,11230,0.0,52000.0,18.112121212121213,2871.0055211644635
51,202502,38000,0,1997,전농동,동아,57.9,11230,0.0,38000.0,17.545454545454547,2165.80310880829
52,202502,40000,0,2005,전농동,전농동신성미소지움,55.371,11230,0.0,40000.0,16.77909090909091,2383.919380180961
53,202502,56000,0,2014,전농동,래미안크레시티,59.99,11230,0.0,56000.0,18.17878787878788,3080.5134189031505
54,202502,20000,200,2022,용두동,래미안엘리니티,74.94,11230,48979.59183673469,68979.59183673469,22.70909090909091,3037.532066469502
55,202502,35000,0,1997,이문동,삼익,59.95,11230,0.0,35000.0,18.166666666666668,1926.6055045871558
56,202502,63000,0,2003,장안동,장안현대홈타운(336),112.78,11230,0.0,63000.0,34.17575757575758,1843.4119524738426
57,202502,10000,170,2000,전농동,전농SK,84.95,11230,41632.65306122449,51632.65306122449,25.742424242424246,2005.741672772699
58,202502,10000,175,2019,장안동,동대문더퍼스트데시앙,59.9942,11230,42857.142857142855,52857.142857142855,18.180060606060607,2907.423908120642
59,202502,22200,12,2023,휘경동,회기역하트리움역세권청년주택,33.8253,11230,2938.7755102040815,25138.775510204083,10.25009090909091,2452.5417123772286
60,202502,49000,0,2004,이문동,래미안이문2차,59.79,11230,0.0,49000.0,18.118181818181817,2704.465629703964
61,202502,18500,0,2020,휘경동,캠퍼스드림오피스텔,16.04,11230,0.0,18500.0,4.86060606060606,3806.1097256857856
62,202502,500,57,2012,전농동,와이시티휘경,16.71,11230,13959.183673469388,14459.183673469388,5.063636363636364,2855.4940827318355
63,202502,1000,85,2021,휘경동,이문휘경지웰에스테이트,14.1448,11230,20816.326530612245,21816.326530612245,4.2863030303030305,5089.776988788842
64,202502,2800,7,2000,전농동,전농SK(임대),32.77,11230,1714.2857142857142,4514.285714285714,9.930303030303032,454.5969745847682
65,202502,45000,0,2001,휘경동,주공1,84.75,11230,0.0,45000.0,25.681818181818183,1752.2123893805308
66,202502,57000,0,2003,장안동,장안현대홈타운(336),84.87,11230,0.0,57000.0,25.718181818181822,2216.330858960763
67,202502,43000,0,1994,답십리동,우창프라자,143.64,11230,0.0,43000.0,43.527272727272724,987.8863826232248
68,202502,40000,0,1989,회기동,신현대,84.96,11230,0.0,40000.0,25.745454545454546,1553.6723163841807
69,202502,17000,0,2021,휘경동,이문휘경지웰에스테이트,14.1448,11230,0.0,17000.0,4.2863030303030305,3966.1218256885923
70,202502,63000,0,2019,답십리동,답십리파크자이,59.91,11230,0.0,63000.0,18.154545454545456,3470.2053079619427
71,202502,47000,0,2013,휘경동,브라운스톤휘경,59.95,11230,0.0,47000.0,18.166666666666668,2587.1559633027523
